Particulars,Voucher Type
METROGYL DG GEL FORTE (20GM),Pharma
SKINLITE CREAM (15GM),Pharma
TELVIN H (10 TAB),Pharma
GLICRITE XR 60 (10 TAB),Pharma
REVITAL H MEN (30 CAP),Pharma
SEPTRAN DS (10 TAB),Pharma
LIVOGEN (15 TAB),Pharma
PONDS SUPER LIGHT GEL 25GM,Pharma
IBUGESIC PLUS SUSPENSION (100ML),Pharma
MOXCLAV DS 457MG SYRUP (30ML),Pharma
PEARS SOAP 100GM,Pharma
PEARS OIL CLEAR GLOW SOAP 75GM,Pharma
REFRESH LIQUIGEL E/D (10ML),Pharma
HIMALAYA EVECARE (30 CAP),Pharma
VICKS VAPORUB (25ML),Pharma
RABESEC D,Pharma
SILORUN 8MG (10 TAB),Pharma
GRILINCTUS LS COUGH SYRUP (100ML),Pharma
CLOP G CREAM (30GM),Pharma
CARDACE 5 MG,Pharma
CARDACE H 2.5MG (15 TAB),Pharma
FLAVEDON MR (10 TAB),Pharma
TAYO 60K (8 TAB),Pharma
NERVZ B CAPSULE (10 CAP),Pharma
AMLOPRES AT (15 TAB),Pharma
GLIZID MV (10 TAB),Pharma
STALIX D 10/100 MG (10 Tab),Pharma
NIVEA MEN ACNE F/W 50GM,Pharma
ETOVA ER 400 (10 TAB),Pharma
TENOVATE GN CREAM (20GM),Pharma
DRONIS 30 (21 TAB),Pharma
GLUJECT S 10MG ( 10 TAB),Pharma
STIM HOPLIN KID PASTE 100GM,Pharma
BABYHUG SOOTHING WET WIPES 72N,Pharma
ENFAMIL STAGE 1,Pharma
GLIMISAVE 2MG (15 TAB),Pharma
NYCIL CLASSIC POWDER,Pharma
CHICCO TOOTH BRUSH 3-8 YEARS,Pharma
SORBITRATE 5MG (50 TAB),Pharma
AVOMINE 25MG (10 TAB),Pharma
CORCAL D 400 (10 TAB),Pharma
MOTHER CARE BABY WIPES 60NOS,Pharma
DABUR HONEY (100GM),Pharma
EXERMET GM 502 (15 TAB),Pharma
BAIDYANATH KABJA HAR (100GM),Pharma
STIM INTERDENTAL BRUSH PINK,Pharma
ISOTROIN 10MG (15 CAP),Pharma
TEMSAN 40MG (15 TAB),Pharma
CIPCAL HD (15 TAB),Pharma
GLUCOMOL 0.5% E/D (5ML),Pharma
CTD O 6.25/40 (10 TAB),Pharma
DEBRIMENT-G GEL (15GM),Pharma
T BACT OINT (15GM),Pharma
STREAX PROFESSIONAL HAIR SERUM 115 ML,Pharma
ONDEM SYRUP (30ML),Pharma
PIGEON PP BOTTLE 12+ MONTH 240ML,Pharma
DOUBLEMINT BOTTLE,Pharma
CLEAN & CLEAR FOAMING F/W 50 ML,Pharma
NETALO E/D (3ML),Pharma
ORG IND TULSI SWEET ROSE,Pharma
VALERA 5MG (15 TAB),Pharma
TELMA 80MG (15 TAB),Pharma
GLUCOPLUS C ORANGE 125GM,Pharma
CHESTON COLD SYRUP (60ML),Pharma
CLOVE OIL 2 ML,Pharma
SOMPRAZ D 40 (15 CAP),Pharma
URIBID (15 TAB),Pharma
MEDI GRIP CORN CAP,Pharma
TSART TRIO 12.5 (10 TAB),Pharma
VITAKIND I (10CAP),Pharma
TRENAXA 500MG (10TAB),Pharma
J&J BABY CARE KIT 500/-,Pharma
GLYCOMET TRIO 1 (10 TAB),Pharma
ZITEN 20MG (15 TAB),Pharma
DOVE SOAP (100GM),Pharma
BIOTIQUE FACE WASH (100ML),Pharma
ULTRA D3 4K (15 TAB),Pharma
REVELOL XL 25 (15 TAB),Pharma
NICE GLYCERIN (50GM),Pharma
FEM DE-TAN CREAM BLEACH ( 30GM ),Pharma
NEKSIUM 40MG,Pharma
VOLITRA APS SOLUTION (30ML),Pharma
COBADEX CZS (15 TAB),Pharma
GANATON 50MG (10 TAB),Pharma
JANUMET 50/500 (15 TAB),Pharma
KENACORT NEW 0.1% PASTE (7.5GM),Pharma
LISTERINE COOL MINT MILD M/W (250ML),Pharma
ITCH GUARD (20GM/ 25 GM),Pharma
LANZOL JUNIOR 30MG (10 TAB),Pharma
HIMALAYA PILEX (60 TAB),Pharma
EMESET SYRUP 2MG (30ML),Pharma
OMESEC RD (10 CAP),Pharma
POWERGYL SYRUP (30ML),Pharma
RING CUTTER OINT (14GM),Pharma
THYRONORM 12.5 MCG (120 TAB),Pharma
A TO Z NS (15 TAB),Pharma
VALRATE CR 500 (10 TAB),Pharma
CONTRACTUBEX GEL (20GM),Pharma
CARE NGT-2.6MG (30TAB),Pharma
CEFTUM 500MG (4 TAB),Pharma
MONTEK LC (15TAB),Pharma
AZTOR 10MG TAB 10NOS,Pharma
ODOMOS CREAM 100GM,Pharma
DENVER PERFUME (30ML),Pharma
GARNIER MEN ACNO FIGHT F/W 50GM,Pharma
LEVIPIL SYRUP (100ML),Pharma
NUBY FRUIT & VEGGIES NIBBLER 10M,Pharma
MEDERMA ADV PLUS SCAR GEL (10GM),Pharma
URSOLID 300MG (10 TAB),Pharma
DABUR SARSON AMLA HAIR OIL (175ML),Pharma
PATANJALI HALDI CHANDAN SOAP 75 GM,Pharma
LIFEBUOY HAND SANITIZER 50ML,Pharma
GABAPIN NT 100 (15 TAB),Pharma
SYSTANE HYDRATION E/D (10ML),Pharma
ASTHAKIND DX COUGH SYRUP SF (100ML),Pharma
DIAMOX ER 500 (15 CAP),Pharma
NICARDIA XL 30 (15 TAB),Pharma
AMLONG 10MG (15 TAB),Pharma
MYELOGEN FORTE (10 CAP),Pharma
SUPRADYN IMMUNO PLUS (10 TAB),Pharma
CLEAN & CLEAR FOAMING F/W (100ML),Pharma
PARK AVENUE POCKET DEO 18ML,Pharma
EVERYUTH EXFOLIATING WALNUT SCRUB 7GM,Pharma
(CloseD) DOVE INTENSE R CONDITIONER POUCH 7ML,Pharma
SUNSILK SHAMPOO 5.5 ML POUCH,Pharma
CLAVIX GOLD 20MG (15 TAB),Pharma
OLMY 20MG (10 TAB),Pharma
NUROKIND OD (20 TAB),Pharma
JOHNSONS BABY SOAP 100GM,Pharma
TENORIC 50 MG (10 TAB),Pharma
TELMIKIND AMH (10 TAB),Pharma
CETAPHIL GENTLE SKIN CLS. (125ML),Pharma
CIPLOX 500MG (10 TAB),Pharma
NEXPRO 20MG (15 TAB),Pharma
CINTAPRO (10 TAB),Pharma
DAILYGLIM M2 FORTE (10 TAB),Pharma
PEE SAFE TAMPONS SUPER 16 NOS,Pharma
RUTOFINE D (10 TAB),Pharma
BAJAJ ALMOND HAIR OIL (19ML),Pharma
BUDAMATE TRANSHALER (200MCG),Pharma
DUOLIN ROTACAPS (60 CAP),Pharma
SOFY ANTIBACTERIAL XL (28NOS),Pharma
EMESET 4MG (10 TAB),Pharma
BIFILAC CAP (10 CAP),Pharma
PAMPER PANTS S2,Pharma
ARBITEL TRIO 50MG (15 TAB),Pharma
T MINIC DROPS (15ML),Pharma
CLOCIP B CREAM (10GM),Pharma
GARNIER MEN DOUBLE ACTION F/W 100MG,Pharma
ANDRE PLUS E/D (10ML),Pharma
FERTISURE M (10 TAB),Pharma
ORCERIN GM (15 TAB),Pharma
ROZUCOR 5MG (10 TAB),Pharma
SHELCAL CT MAX (15 CAP),Pharma
CIPMOL 500MG (10 TAB),Pharma
PEGFIBER POWDER,Pharma
COLGATE PERIOGARD TOOTHPASTE (90GM),Pharma
COZYMIN PLUS (15 TAB),Pharma
AYURVEDIC KAYAM (30 TAB),Pharma
ENTEROQUINOL (20 TAB),Pharma
HIMALAYA ANTI-HAIRFALL SHAMPOO (180ML),Pharma
BRUFEN 600MG (15 TAB),Pharma
LULIFIN CREAM (20GM),Pharma
GLOW & HANDSOME F/W 50GM,Pharma
ACNE-UV GEL SPF30 (60GM),Pharma
FLOXIMOX E/D (5ML),Pharma
TOFARUS GEL (10GM),Pharma
DEXONA (30 TAB),Pharma
GLUCONORM G2 FORTE (15 TAB),Pharma
ENERZAL ORANGE (50GM),Pharma
SAFE SHIELD 3PLY MASK (INDIVIDUAL PACK),Pharma
NEERI SYRUP (200ML),Pharma
HIMALAYA LIV 52 DS SYRUP (200ML),Pharma
TYNOR ANKLE BINDER -XL,Pharma
ZERODOL MR (10 TAB),Pharma
JOHNSONS BABY WET WIPES 72 NOS,Pharma
SITARED M 50/1000 (15 TAB),Pharma
STUGERON (25 TAB),Pharma
ORS PROLYTE LEMON (200ML),Pharma
MEDROL 8MG (14 TAB),Pharma
ROZAVEL F (10 TAB),Pharma
OFLOX OZ (10 TAB),Pharma
DABUR PUDIN HARA ACTIVE (30ML),Pharma
NEUTROGENA ULTRA SHEER SPF50 (80GM),Pharma
PONDS LIGHT MOISTURISER CREAM 49 GM,Pharma
AMLOPRES TL (15 TAB),Pharma
PROTINEX RICH CHOCO POWDER 400 GM,Pharma
LAKME ABSOLUTE BRIGHTENING F/W 50GM,Pharma
ENVAS 5MG (15 TAB),Pharma
ULTIDERM LOTION (50ML),Pharma
SEROFLO ROTACAPS 250MCG (30 CAP),Pharma
CLINGEN FORTE  (7 TAB),Pharma
ENVY GRAVITY DEO  (120ML),Pharma
CILNY 10MG (15 TAB),Pharma
ZAVAMET 500MG (10 TAB),Pharma
DERMACO 1% HYALURONIC TINTED S/S GEL SPF 60 (50GM),Pharma
DERMACO 10% VITAMIN C FACE SERUM (10ML),Pharma
DABUR HONEY (250GM),Pharma
ELTROXIN 50 MCG (120 TAB),Pharma
ETOFEX 180MG (10 TAB),Pharma
LUPISULIN N INJECTION 40IU/ML (10ML),Pharma
HUMINSULIN R INJECTION 40IU/ML (10ML),Pharma
B.D SYRINGE,Pharma
POLYBION LC SYRUP (150ML),Pharma
DUREX REAL FEEL 1*3,Pharma
LOX 2% JELLY (30GM),Pharma
PEESAFE DISPOSABLE MATERNITY PAD 8NOS,Pharma
COLICAID DROPS (15ML),Pharma
SENSODYNE REPAIRE AND PROTECT (100GM),Pharma
ZANOCIN OD 400 (5 TAB),Pharma
PARACHUTE JASMINE HAIR OIL (45ML),Pharma
PARK AVENUE SHAVING CREAM GM,Pharma
DABUR GULABARI ROSE WATER (400ML),Pharma
HIMALAYA MOISTURIZING ALOE VERA GEL (100ML),Pharma
RABESEC 20MG (10 TAB),Pharma
CREMAPIL PLUS SUSPENSION (170ML) SF,Pharma
MULTANI KUKA SYP 100ML (BLUE),Pharma
CETAPHIL OILY SKIN CLEANSER (125ML),Pharma
SOFY PANTYLINER ANTIBACTERIA (36NOS),Pharma
CLENSTA DEO 150 ML,Pharma
SPRAYMINT 15 GM,Pharma
ROSEDAY A 10 (10 CAP),Pharma
ISTAMET 50/1000 (15 TAB),Pharma
MEDTECH STEAMER INHALER,Pharma
PARACHUTE HOT HAIR OIL (90ML),Pharma
ROXID 150MG (10 TAB),Pharma
DOVE BODY WASH 250ML,Pharma
CLOSEUP TOOTHPASTE (80GM),Pharma
CANDID DUSTING POWDER (120GM),Pharma
ABZORB BAR (100GM),Pharma
HAMDARD JOSHINA COUGH SYRUP (100ML),Pharma
BAIDYANATH TRIPHALA GUGGULU (80 TAB),Pharma
BECOSULES PERFORMANCE (15 CAP),Pharma
GARNIER MEN OIL CLEAR F/W 50 GM,Pharma
MUCINAC 200MG (10 TAB),Pharma
JOHNSONS BUDS (30N),Pharma
KOHINOOR EXTRA TIME 1*3,Pharma
URSOCOL 150MG (15 TAB),Pharma
CARDIVAS 3.125MG (10 TAB),Pharma
SENSODYNE FRESH MINT (40GM),Pharma
ENVY BLUSH POWDER (100GM),Pharma
PARACHUTE OIL (50ML),Pharma
PEESAFE TOILET SEAT SPRAY (75ML),Pharma
AUGMENTIN 1GM (10 TAB),Pharma
AF KIT,Pharma
CLINGEN 3 (3 TAB),Pharma
HIMALAYA GUDUCHI (60 TAB),Pharma
HEAD AND SHOULDER SHAMPOO (72ML),Pharma
Ponds Magic Powder 20gm,Pharma
MOIZ CLEANSING LOTION (200ML),Pharma
PONDS BB+ CREAM 18GM,Pharma
WHITE TONE FACE POWDER ( 30GM ),Pharma
DABUR LAL DANT MANJAN (35GM),Pharma
FARONEM ER (10 TAB),Pharma
CALPOL 650MG (15  TAB),Pharma
SEROFLO INHALER (250MCG),Pharma
PANTOCID 40MG (15 TAB),Pharma
IVABRAD 5MG (15 TAB),Pharma
WYSOLONE DT 10 (15 TAB),Pharma
DANFREE 2% SHAMPOO (100ML),Pharma
VIAGRA 50MG TAB 2NOS,Pharma
DAPRICA 5MG (10 TAB),Pharma
TELLZY CH 40 (15 TAB),Pharma
AMLONG MT 50MG (15 TAB),Pharma
TYNOR KNEE CAP XL,Pharma
DARTMET 500MG,Pharma
JUSTOZA M 10/500 (15 TAB),Pharma
DABUR SUPARI PAK LAGHU (125GM),Pharma
OSTEOCYNC (10TAB),Pharma
BLUE HEAVEN MICELLAR CLEANSING WATER 125ml,Pharma
GARNIER MEN ACNOFIGHT  CREAM 20GM,Pharma
CIPLAR LA 40 (15 TAB),Pharma
GARNIER BRIGHT VIT-C SERUM (15ML),Pharma
OB TAMPON SUPER 10 NOS BLOSSOM,Pharma
CLOVE OIL (3GM),Pharma
SELOKEN XL 50 (30 TAB),Pharma
FLAVEDON OD 80 MG (10TAB),Pharma
GLIPY D (15 TAB),Pharma
ROZUCOR GOLD 20 (10 CAP),Pharma
DABUR SAT ISABGOL 45/50GM,Pharma
LAKME LIP BALM (4.5GM),Pharma
ONDERO 5MG (10 TAB),Pharma
GLYCOMET TRIO 2 (10 TAB),Pharma
NIFTAS 100MG (15 TAB),Pharma
LACTACYD FEMININE HYGIENE WASH (100ML),Pharma
ESSENZA PLUS (10 CAP),Pharma
DR. JRK' S 777 OIL (200ML),Pharma
LEVERA 250MG (15 TAB),Pharma
LEVERA 500MG (15 TAB),Pharma
THIMIN  (15 TAB),Pharma
MACBERY DX COUGH SYRUP (100ML),Pharma
ZERODOL 100MG (10 TAB),Pharma
REVIZE MICRO 0.04% GEL (20GM),Pharma
HK VITALS BIOTIN (40 TAB),Pharma
PATADAY E/D (2.5ML),Pharma
ACTRAPID PREFILLED FLEXPEN 100IU/ML (ML),Pharma
GLIMIPREX MF 1/500MG (15TAB),Pharma
GABAPIN NT 400 (15 TAB),Pharma
TELMA CT 40/6.25 (15 TAB),Pharma
COLGATE STRONG TEETH TOOTHPASTE (100GM),Pharma
AVEENO DAILY MOIST. LOTON 71 ML,Pharma
RB3687 004/58 61,Others
FF KODAK UNIQUE 1.56 UV BLUE PROG CleanNClear,Others
FSV AS 1.50 Crizal BCT Easy Pro,Others
RX VX Liberty 3.0 Style Digital 1.50 Titus,Others
FF KODAK UNIQUE 1.67 UV BLUE CleanNClear,Others
SPECTONE FRAMES,Others
RX VX Progress S/R 1.59 A/W Crizal Easy Pro,Others
FF KODAK EASY 1.5 ULTRA SHORT CleanNClear,Others
FF KODAKI UNIQUE 1.5 Clear Night Vision,Others
Optifree P.Moist 300ml,Others
FF KODAK EASY 1.56 UV BLUE U Short CleanNClear,Others
OPTIMA CONTACT LENS,Others
Biofinity XR (6 Lens),Others
Vintage Sunglass,Others
RX VX Comfort Max S/R 1.50 Crizal Rock BCT,Others
FSV AS 1.56 Crizal BCT Easy Pro,Others
RX VX Progress S/R 1.50 Crizal Easy Pro BCT,Others
FSV 1.56 SPH TR Classic Grey Crizal Easy Pro,Others
FF KODAK EASY 1.61 MR8 U Short CleanNClear,Others
RX VX Progress S/R 1.50 Crizal Easy Pro,Others
SHAMIR AUTOGRAPH 2 1.50 GEN8 GLACIER UV,Others
SHAMIR AUTOGRAPH URBAN 1.50 HC,Others
CR HC,Others
Sorrento 880 C2 54,Others
IDEE FR 2037,Others
ONDERO MET 2.5/500 (10 TAB),Pharma
DETTOL WET WIPES 80 NOS,Pharma
MULTIPREX (10 CAP),Pharma
ORG IND TULSI GREEN TEA  HONEY LEMON,Pharma
SOFY ANTIBACTERIAL XL (14NOS),Pharma
WOODEN COTTON BUDS (100N),Pharma
TELISTA 40MG (15 TAB),Pharma
NEOGADINE SYRUP (300ML),Pharma
METOLAR XR 50 (15 CAP),Pharma
WHISPER BINDAZZ NIGHTS XXXL 20NOS,Pharma
METOCARD XL 25 (10 TAB),Pharma
TELMIKIND 20MG (10 TAB),Pharma
ALTHROCIN 500MG (10 TAB),Pharma
COLGATE MAXFRESH MOUTHWASH BLUE (250ML),Pharma
ASCORIL LS COUGH SYRUP (100ML),Pharma
STATSET A 10 (10 CAP),Pharma
DILNIP M 50 (10 TAB),Pharma
FAIR & HANDSOME RADIANCE F/W 50GM,Pharma
LIPROSS 20MG (10 TAB),Pharma
PROVANOL SR 80 (10 TAB),Pharma
NAVRATNA OIL (270ML),Pharma
NORFLOX 400MG (10 TAB),Pharma
COFENAC PLUS (10 TAB),Pharma
DUTAS 0.5MG (30 CAP),Pharma
COLGATE SENSITIVE PLUS TOOTHPASTE 70GM,Pharma
COLGATE ULTRA FOAM TOOTH BRUSH,Pharma
MEGALIS 10MG ( 4 TAB),Pharma
CALCIMAX P SUSPENSION (200ML),Pharma
AZTOR ASP 75MG (10 CAP),Pharma
RAMCOR 5MG (10 CAP),Pharma
TAMDURA (10 CAP),Pharma
ORS PROLYTE NIMBU PANI 200ML,Pharma
NEPAMED E/D (5ML),Pharma
EVITAS (10 CAP),Pharma
NAPRA D 500MG (10 TAB),Pharma
SITACIP 50MG (10 TAB),Pharma
ZOCON 400MG (1 TAB),Pharma
ANGISPAN TR 2.5MG (25 CAP),Pharma
URSOCOL 300MG (15 TAB),Pharma
SPORIDEX CV 375 (10 TAB),Pharma
GENTEAL GEL E/D (10ML),Pharma
T BACT OINT (5GM),Pharma
LULIFIN CREAM (10GM),Pharma
BETNOVATE GM CREAM (20GM),Pharma
FLURISONE T E/D (5ML),Pharma
DUREX EXTRA THIN BUBBLEGUM 3NOS,Pharma
ORTHODEX GEL (30GM),Pharma
OLKEM 20MG (15 TAB),Pharma
TREHALUBE E/D (5ML),Pharma
TUSQ X+ EXP COUGH SYRUP (100ML),Pharma
FOLINEXT D (15 CAP),Pharma
DUPHASTON 10MG (10 TAB),Pharma
PONDS SUPER LIGHT GEL 12ML,Pharma
PATANJALI APRICOT SCRUB 60 GM,Pharma
CLOCIP DUSTING POWDER (75GM),Pharma
AMRUTANJAN PAIN BALM (YELLOW 8ML),Pharma
SIMCO CLASSIC HAIR FIXER 500GM( PINK),Pharma
HIMALAYA LIV 52 DS SYRUP (100ML),Pharma
PANTOSEC D ( 10 TAB),Pharma
ROSUVAS 5MG (15 TAB),Pharma
ROSIFLEX-C (20 CAP),Pharma
FINALO (10TAB),Pharma
LONITAB 2.5MG (10 TAB),Pharma
NUCOXIA 90MG (15 TAB),Pharma
DOLOGEL GEL (15GM),Pharma
ALTHROCIN 250MG (10 TAB),Pharma
OMNACORTIL 20MG (10 TAB),Pharma
BOROLINE CREAM (40GM),Pharma
LEVORID 5MG (10 TAB),Pharma
FUCIDIN H CREAM (15GM),Pharma
RAYSTAT EAR DROPS (5ML),Pharma
PAXIDEP CR 25MG (10 TAB),Pharma
SKINSHINE CREAM (15GM),Pharma
JOHNSONS MILK+RICE LOTION (200ML),Pharma
DABUR PUNARNAVADYARISHTA (450ML),Pharma
M.POKO STD L1,Pharma
BUSCOGAST PLUS (10 TAB),Pharma
THYRONORM 50 MCG (120 TAB),Pharma
SOMPRAZ L (10 CAP),Pharma
PHOTOSTABLE GOLD SUNSCREENGEL SPF55 (50GM),Pharma
ZANDU NITYAM VATTI 30N,Pharma
SOFTOVAC POWDER (250GM),Pharma
TYNOR CERVICAL COLLAR SOFT (L),Pharma
ECOSPRIN 150MG (14 TAB),Pharma
HEAD AND SHOULDERS SHAMPOO (180ML),Pharma
GLUCONORM ZXR FORTE 60 (10 TAB),Pharma
HIT BLACK 200ML,Pharma
ODOMOS NATURALS SPRAY,Pharma
WHITE TONE FACE CREAM 50GM,Pharma
NEO MERCAZOLE 10MG (120 TAB),Pharma
SLOANS LINIMENT OIL (71ML),Pharma
BENZAC AC 5% GEL WASH (100ML),Pharma
NAPROSYN 250+ (15 TAB),Pharma
(CLOSED) DOVE SHAMPOO POUCH 5.5ML,Pharma
GLIMPER M2 FORTE (15 TAB),Pharma
INDERAL 40MG (15 TAB),Pharma
MOMATE CREAM (20GM),Pharma
SUNCROS AQUAGEL SPF26 (100GM),Pharma
VOVERAN INJECTION 75MG (1ML),Pharma
SIGNOFLAM TH 4 (10 TAB),Pharma
BIO D3 STRONG (10 CAP),Pharma
WHISPER BINDAZ NIGHTS KOLA SOFT XXL+ 5 PCS,Pharma
JANUMET XR CP 100/1000MG (7 TAB),Pharma
ZEFORMIN XR 30 (10 TAB),Pharma
TELPRES 40MG (15 TAB),Pharma
BELAR FORTE (10 TAB),Pharma
STATFIT-F (10 TAB),Pharma
CYP L DROPS (15ML),Pharma
FORACORT INHALER (200MCG),Pharma
ANGICAM BETA (15 TAB),Pharma
DEPNSAID MR (10 TAB),Pharma
EIDO FE (10 TAB),Pharma
VIFREN (10 TAB),Pharma
NAN PRO NO 4 (400 GM),Pharma
LOTUS SPF40 (50GM),Pharma
TOPINATE CREAM (30GM),Pharma
MINIMALIST ROLL ON 6% 40ML,Pharma
CILACAR 20MG (10 TAB),Pharma
PONDS COLD CREAM 30GM,Pharma
SITARITE M OD (10 TAB),Pharma
DAPABITE M 10/500 (10 TAB),Pharma
EUTHYROX 100 MCG (100 TAB),Pharma
ALLEGRA SUSPENSION (100ML),Pharma
DOXINATE (30 TAB),Pharma
CLOCIP CREAM (15GM),Pharma
ORG IND TULSI GREEN TEA CLASSIC,Pharma
HIMALAYA SHISHU ANAND BABY WET WIPES 72 N,Pharma
OLMIGHTY AM (10 TAB),Pharma
CANDITRAL 200MG (10 CAP),Pharma
DICLOMOL (10 TAB),Pharma
OLMESAR A (15 TAB),Pharma
URSOCOL SR 450 (15 TAB),Pharma
LIPAGLYN (10 TAB),Pharma
CENTRUM MEN  (30TAB),Pharma
CLOPIVAS AP 150 (15 TAB),Pharma
ATORVA 40 MG (10 TAB),Pharma
GLIMPER M 1 (15 TAB),Pharma
GELUSIL SYRUP XTRA COOL (200ML) SF,Pharma
CALCAREA PHOSPHORICA 6X (PINK),Pharma
NEBI 2.5MG (10 TAB),Pharma
NEBI 5MG (10 TAB),Pharma
FERIUM XT (15 TAB),Pharma
FUSIWAL M CREAM (10GM),Pharma
BIOTIQUE MOISTURIZER LOTION (120ML),Pharma
CORONATION HOT WATER BOTTLE LARGE PLAIN,Pharma
SORBITRATE 10MG (50 TAB),Pharma
ODONIL BLOCKS,Pharma
GOODKNIGHT COMBI PACK,Pharma
MONTAIR LC KID SYRUP (60ML),Pharma
PONDS POWDER  50GM,Pharma
LUX SOAP (75GM),Pharma
SENSODYNE SOFT BRUSH (MRP 110),Pharma
CIPLAR 40MG (15 TAB),Pharma
MUGLI GHUTTI 555 (100ML),Pharma
GLYCO 12% CREAM (30GM),Pharma
OLSAR A 40 (10 TAB),Pharma
TELVAS AM (15 TAB),Pharma
KAPIVA SHILAJIT 20N,Pharma
ZOLE F SKIN OINT (15GM),Pharma
COLGATE STRONG TEETH TOOTHPASTE (200GM),Pharma
LIFEBUOY SOAP 10 R RED,Pharma
LUX SOAP 10RS,Pharma
DABUR SARSON AMLA HAIR OIL (68ML),Pharma
GLOW&LOVELY MULTI VIT CREAM 25GM,Pharma
MOBIZOX (10 TAB),Pharma
RESTECLIN 500MG (10 CAP),Pharma
VIGORE 50 MG ( 4 TAB),Pharma
SOLACID O SUSPENSION (170ML) SF,Pharma
OMRON B.P MONITOR HEM-7121J,Pharma
TENOLOL 50MG (14 TAB),Pharma
VICKS VAPORUB (10ML),Pharma
DENVER BLACK CODE COLOGNE TALC 300GM,Pharma
WHISPER B N KOALA SOFT XXL+ 10 NOS,Pharma
DISPOVAN SYRINGE 5 ML,Pharma
GINETTE 35 (21 TAB),Pharma
MOXICIP E/D (5ML),Pharma
MONTAIR 10MG (15 TAB),Pharma
NEWTEL H 40 (10 TAB),Pharma
DOBESIL 500MG (10 CAP),Pharma
NEXITO 10MG (10 TAB),Pharma
ACE PROXYVON TH 4 (10 TAB),Pharma
CALSHINE P DROPS (30ML),Pharma
GABANYL M (10 TAB),Pharma
CANDID B CREAM (10GM),Pharma
LANZOL 30MG (10 CAP),Pharma
VOVERAN SR 100 (15 TAB),Pharma
(Closed) GLIMY 1MG (14 TAB),Pharma
GLIMCOR -M4 FORTE (15 TAB),Pharma
NUROKIND LC (15 TAB),Pharma
NICARDIA RETARD 20 (15 TAB),Pharma
NEURO D3 60K  (8 CAP),Pharma
NUSAR AM (10 TAB),Pharma
FLAGYL 400MG (15 TAB),Pharma
ECOSPRIN AV 150 (15 CAP),Pharma
TOLPERITAS D (10 TAB),Pharma
TERBEST (7TAB),Pharma
OMEZ 20MG (20 CAP),Pharma
ROSEDAY 5MG (15 TAB),Pharma
RESNER PLUS (10 TAB),Pharma
RISNIA MD 1 (10 TAB),Pharma
STATFIT A 20 (10 CAP),Pharma
SECNIL FORTE  1G (2 TAB),Pharma
ACUVUE OASYS 8.4 (6 LENS),Others
IDEE SG 3004 P,Others
VASOCARE JELLY (50ML),Pharma
ENVY TRANCE DEO (130ML),Pharma
TEGRITAL 200MG (10 TAB),Pharma
OLMESAR H (15 TAB),Pharma
CETAPHIL GENTLE SKIN CLS (250ML),Pharma
SF SECURE COTTONY XL WITH WINGS 40PCS,Pharma
B FIT UNDERPAD SHEET 10NOS,Pharma
M.POKO STD XL6,Pharma
(Closed) GLIMY 2MG (14 TAB),Pharma
CASTOR NF CREAM (15GM),Pharma
GLUCO ONE BG-03 GLUCOSE STRIPS (50N),Pharma
LAKME SUN EXPERT SPF30 LOTION (50ML),Pharma
TACROZ FORTE 0.1% OINT (20GM),Pharma
HIMALAYA BLEMINOR CREAM (30ML),Pharma
BILUMA CREAM (15GM),Pharma
P-6 OINTMENT (25GM),Pharma
CANDID DUSTING POWDER (60GM),Pharma
BROZEET SYRUP (100ML),Pharma
TUGAIN MEN SOLUTION 5% (60ML),Pharma
TUGAIN EVA SOLUTION 5% (60ML),Pharma
TUGAIN SOLUTION 5% (60ML),Pharma
MINTOP FORTE SOLUTION 10% (60ML),Pharma
LISTERINE TOTAL CARE M/W (250ML),Pharma
SENSODYNE MOUTHWASH (250ML),Pharma
CASTOR OIL (100ML),Pharma
ALOGRACE CREAM (50GM),Pharma
NAVRATNA OIL (180ML),Pharma
NAVRATNA OIL (90ML),Pharma
AMLYCURE D.S. SYRUP (200ML),Pharma
PRE NAN 400GM,Pharma
GLIMISAVE MV 1.3 (10 TAB),Pharma
AMLOZ 5MG (30 TAB),Pharma
VERTIN 8MG (15 TAB),Pharma
VERTIN 16MG (15 TAB),Pharma
APIXAPIL 5MG (10 TAB),Pharma
HIMALAYA PUREHANDS HAND SANITIZER (100ML),Pharma
NIVEA CREAM 200ML,Pharma
NUBY NAIL CARE SET 0+ MONTH,Pharma
DETTOL WET WIPES 40NOS,Pharma
SAVLON LIQUID 50 ML,Pharma
CETAPHIL DAM  LOTION (30GM),Pharma
DAPLO M 5 (10 TAB),Pharma
LOSAR 25MG (15 TAB),Pharma
CEFLOX D E/D (10ML),Pharma
TORGLIP M 50/1000 (10 TAB),Pharma
CHICCO WET WIPES 72NOS,Pharma
VALERA M 500 (15 TAB),Pharma
ROZUCOR ASP-20 (10 CAP),Pharma
DETTOL SOAP SET 75 GM,Pharma
JALRA-M 50/500 (15 TAB),Pharma
DABUR MAHANARAYAN TAIL (100ML),Pharma
BIFILAC DRY SYRUP (50ML),Pharma
ZENFLOX OZ (10 TAB),Pharma
VOLINI GEL (30GM),Pharma
DORZOX E/D (5ML),Pharma
PRED FORTE E/D (10ML),Pharma
RA THERMOSEAL TOOTHPASTE (100GM),Pharma
RX VX Liberty 3.0 Style Digital S/R 1.50 Titus,Others
Shamir Autograph Plus 1.56 Blue Zero Glacier UV,Others
